svm_type one_class
kernel_type rbf
gamma 0.00050000000000000001
nr_class 2
total_sv 14
rho 0.010739371289858954
SV
0.010937500000000001 0:0 1:1 2:0 3:0 4:1 5:0 6:1 7:0 8:1680 9:16934 10:1 11:0 12:0 13:0 14:2 15:1 16:0.5 17:1 18:0.5 19:0 20:0.5 21:1 22:0 23:255 24:3 25:0.01 26:0.02 27:0 28:0 29:0 30:0.33 31:0.74 32:0.33 
0.010937500000000001 0:432 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:241 9:1237 10:1 11:0 12:0 13:0 14:2 15:1 16:0 17:0 18:0.5 19:0 20:0.5 21:1 22:0 23:255 24:32 25:0.13 26:0.06 27:0 28:0 29:0.67 30:0.41 31:0.03 32:0.12 
0.010739720530926342 0:1 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:248 9:1856 10:1 11:0 12:0 13:0 14:2 15:1 16:0 17:0 18:0.5 19:0 20:0.5 21:1 22:0 23:255 24:250 25:0.98 26:0.01 27:0 28:0 29:0 30:0 31:0 32:0 
0.010937500000000001 0:0 1:0 2:1 3:0 4:1 5:0 6:0 7:1 8:133 9:36 10:1 11:0 12:0 13:0 14:2 15:1 16:0 17:0 18:0.5 19:0 20:0.5 21:1 22:0 23:152 24:1 25:0.01 26:0.03 27:0.81 28:0 29:0 30:0 31:0.14 32:0 
0.010368915211784666 0:102 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:293 9:259 10:1 11:0 12:0 13:0 14:3 15:2 16:0 17:0 18:0.33 19:0 20:0.67 21:0.67 22:0 23:255 24:250 25:0.98 26:0.01 27:0 28:0 29:0 30:0 31:0 32:0 
0.010937500000000001 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:652 9:390 10:1 11:0 12:0 13:0 14:3 15:2 16:0 17:0 18:0.67 19:0 20:0.33 21:0.67 22:1 23:64 24:181 25:0.23 26:0.03 27:0.02 28:0.02 29:0 30:0 31:0 32:0 
0.010937500000000001 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:1637 9:436 10:1 11:0 12:0 13:0 14:2 15:2 16:0 17:0 18:0.5 19:0 20:0.5 21:1 22:1 23:255 24:12 25:0.05 26:0.09 27:0 28:0 29:0.86 30:0 31:0.01 32:0 
0.010739720530926342 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:1196 9:386 10:1 11:0 12:0 13:0 14:2 15:1 16:0 17:0 18:0.5 19:0 20:0.5 21:1 22:0 23:255 24:13 25:0.05 26:0.09 27:0 28:0 29:0.85 30:0 31:0.01 32:0 
0.010924017397923681 0:343 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:258 9:278 10:1 11:0 12:0 13:0 14:3 15:2 16:0 17:0 18:0.33 19:0 20:0.67 21:0.67 22:0 23:255 24:247 25:0.97 26:0.01 27:0 28:0 29:0 30:0 31:0 32:0 
0.0047808943742386261 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:251 9:271 10:1 11:0 12:0 13:0 14:3 15:5 16:0 17:0 18:0.33 19:0 20:0.67 21:0.67 22:0.6 23:255 24:245 25:0.96 26:0.01 27:0 28:0 29:0 30:0 31:0 32:0 
0.0065759826020763204 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:259 9:282 10:1 11:0 12:0 13:0 14:2 15:3 16:0 17:0 18:0.5 19:0 20:0.5 21:1 22:1 23:255 24:248 25:0.97 26:0.01 27:0 28:0 29:0 30:0 31:0 32:0 
0.010394416450708009 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:11341 9:1546 10:1 11:0 12:0 13:0 14:2 15:1 16:0 17:0 18:0.5 19:0 20:0.5 21:1 22:0 23:255 24:11 25:0.04 26:0.09 27:0 28:0 29:0.86 30:0 31:0.01 32:0 
0.010394416450708009 0:2669 1:0 2:1 3:0 4:1 5:0 6:0 7:1 8:146 9:105 10:1 11:0 12:0 13:0 14:3 15:2 16:0 17:0 18:0.33 19:0 20:0.67 21:0.67 22:0 23:255 24:2 25:0.01 26:0.56 27:0.88 28:0 29:0 30:0 31:0 32:0 
0.010394416450708009 0:3 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:187 9:7770 10:1 11:0 12:0 13:0 14:2 15:1 16:0 17:0 18:0.5 19:0 20:0.5 21:1 22:0 23:255 24:246 25:0.96 26:0.01 27:0 28:0 29:0 30:0 31:0 32:0 
